BLUE ocr vs icr,,Red ocr vs icr,,black ocr vs icr,
X,Y,X,Y,X,Y
474290.67482742434,472941.81505843194,886737.9631722627,738355.2017366326,,
478945.0279077046,481259.6135013385,888886.126132392,734574.3842625841,,
477512.91926761833,476722.6325324804,893182.4520526509,735330.5477573939,,
483241.35382796335,484788.37647711695,893182.4520526509,730793.5667885358,,
481809.2451878771,479747.2865117191,897478.7779729095,733818.2207677745,,
487537.6797482221,490333.57543905475,897478.7779729095,729281.2397989163,,
486105.57110813586,484284.2674805772,901775.1038931682,730793.5667885358,,
491834.0056684809,493862.3384148333,900701.0224131035,727768.912809297,,
490401.8970283945,488821.24844943534,906071.429813427,727768.912809297,,
495772.30442871794,499407.537376771,906071.429813427,723231.9318404389,,
495772.30442871794,494114.3929131032,910367.7557336857,724744.2588300582,,
500426.6575089983,502432.1913560098,910367.7557336857,720207.2778612,,
498994.54886891204,497895.2103871517,914664.0816539446,721719.6048508195,,
504364.95626923547,508481.49931448733,914664.0816539446,717182.6238819613,,
504364.95626923547,503188.35485081945,918960.4075742032,717182.6238819613,,
509019.3093495158,511506.15329372603,918960.4075742032,711889.4794182936,,
507587.20070942945,506969.1723248679,923256.7334944619,712645.6429131032,,
513315.6352697745,515034.9162695046,923256.7334944619,707352.4984494355,,
511883.5266296882,509993.8263041066,927553.0594147207,708108.661944245,,
517611.96119003324,520580.11523144227,927553.0594147207,702815.5174805772,,
516179.852549947,514530.80727296474,931849.3853349794,703571.6809753869,,
521908.287110292,524108.8782072208,931849.3853349794,697522.3730169095,,
520476.17847020563,519067.788241823,936145.711255238,697522.3730169095,,
526204.6130305507,529654.0771691586,936145.711255238,692985.3920480513,,
524772.5043904644,523604.7692106811,940442.0371754969,694497.7190376706,,
530500.9389508094,532678.7311483973,940442.0371754969,688448.4110791932,,
529068.8303107232,528141.7501795392,944738.3630957556,688448.4110791932,,
534439.2377110466,538728.0391068748,944738.3630957556,683911.430110335,,
534439.2377110466,533434.894643207,947960.6075359496,685423.7570999544,,
539093.590791327,541752.6930861135,,,,
537661.4821512406,535703.385127636,,,,
543389.9167115856,545281.4560618921,,,,
541957.8080714993,540240.3660964943,,,,
547328.2154718228,550826.6550238299,,,,
547328.2154718228,545533.510560162,,,,
551982.5685521031,553851.3090030686,,,,
550550.4599120169,549314.3280342105,,,,
555920.8673123402,559900.6169615461,,,,
555920.8673123402,554607.4724978782,,,,
560575.2203926205,562925.2709407848,,,,
559143.1117525343,558388.2899719267,,,,
564513.5191528577,568974.5788992624,,,,
564513.5191528577,563681.4344355946,,,,
569167.8722331381,571999.2328785011,,,,
567735.7635930517,565949.9249200237,,,,
573464.1981533967,575023.8868577399,,,,
572032.0895133105,570486.9058888818,,,,
577402.4969136339,581073.1948162174,,,,
577402.4969136339,575780.0503525495,,,,
582056.8499939142,584097.8487954561,,,,
580624.741353828,579560.867826598,,,,
586353.175914173,587626.6117712347,,,,
584921.0672740866,582585.5218058368,,,,
590649.5018344317,593171.8107331723,,,,
589217.3931943454,587122.5027746949,,,,
594945.8277546904,596700.5737089509,,,,
593513.7191146042,591659.483743553,,,,
598884.1265149276,602245.7726708886,,,,
598884.1265149276,596952.6282072209,,,,
603538.4795952078,605270.4266501274,,,,
602106.3709551216,600733.4456812693,,,,
607476.778355445,611319.7346086049,,,,
607476.778355445,606026.5901449372,,,,
612131.1314357254,614344.3885878436,,,,
610699.0227956391,609807.4076189855,,,,
616427.4573559841,617873.1515636222,,,,
614995.3487158978,612832.0615982243,,,,
620723.7832762428,623418.3505255599,,,,
619291.6746361565,617369.0425670824,,,,
625020.1091965016,626443.0045047987,,,,
623588.0005564153,621906.0235359406,,,,
628958.4079567387,632492.3124632762,,,,
628958.4079567387,627199.1679996084,,,,
633612.7610370191,635516.9664425149,,,,
632180.6523969327,629467.6584840375,,,,
637909.0869572777,639045.7294182935,,,,
636476.9783171915,634004.6394528956,,,,
642205.4128775365,644590.9283802311,,,,
640773.3042374502,638541.6204217537,,,,
646501.7387977953,648119.6913560098,,,,
645069.630157709,643078.6013906118,,,,
650440.0375580323,653664.8903179475,,,,
650440.0375580323,648371.7458542797,,,,
655094.3906383127,656689.5442971862,,,,
653662.2819982264,652152.5633283281,,,,
659032.6893985498,662738.8522556638,,,,
659032.6893985498,657445.707791996,,,,
663687.0424788302,665763.5062349024,,,,
662254.9338387438,659714.198276425,,,,
667983.3683990889,669292.2692106811,,,,
666551.2597590026,664251.1792452831,,,,
671921.667159326,674837.4681726188,,,,
671921.667159326,669544.323708951,,,,
676576.0202396064,677862.1221518575,,,,
675143.9115995201,673325.1411829994,,,,
680514.3189998434,683911.430110335,,,,
680514.3189998434,678618.2856466672,,,,
685168.6720801238,686936.0840895737,,,,
683736.5634400375,682399.1031207156,,,,
689464.9980003826,690464.8470653524,,,,
